Resultados de SVM con validacion cruzada (5 folds):

C=1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.14525530139183465, 'accuracy': 0.4745454545454546, 'precision': 0.476782775089554, 'recall': 0.4745454545454546, 'f1': 0.40630940068680677}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.0653093087745259, 'accuracy': 0.4274675324675325, 'precision': 0.4039988116458705, 'recall': 0.4274675324675325, 'f1': 0.33852049411658286}, tiempo_total=0.18 segundos

C=1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.05336655556119137, 'accuracy': 0.4238311688311689, 'precision': 0.4009894785521384, 'recall': 0.4238311688311689, 'f1': 0.3252336809010421}, tiempo_total=0.18 segundos

C=1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.047891543446148876, 'accuracy': 0.4201948051948053, 'precision': 0.39085880138616713, 'recall': 0.4201948051948053, 'f1': 0.3198346338175508}, tiempo_total=0.18 segundos

C=1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.04096363677712449, 'accuracy': 0.41662337662337656, 'precision': 0.39583660701454143, 'recall': 0.41662337662337656, 'f1': 0.3143105432322371}, tiempo_total=0.21 segundos

C=1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.03472128827681846, 'accuracy': 0.4129870129870129, 'precision': 0.39023549212572994, 'recall': 0.4129870129870129, 'f1': 0.3091694079632246}, tiempo_total=0.21 segundos

C=1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.2616790199818607, 'accuracy': 0.5399350649350649, 'precision': 0.48096975406896797, 'recall': 0.5399350649350649, 'f1': 0.47789520256057083}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.22403198719569958, 'accuracy': 0.5182467532467532, 'precision': 0.45308891108891114, 'recall': 0.5182467532467532, 'f1': 0.4576603298709207}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.14032895404034984, 'accuracy': 0.47448051948051956, 'precision': 0.4648481879576599, 'recall': 0.47448051948051956, 'f1': 0.399112502089991}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.056246771365333445, 'accuracy': 0.4274675324675325, 'precision': 0.43199102727839805, 'recall': 0.4274675324675325, 'f1': 0.3221900747710041}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.053122429858389886, 'accuracy': 0.42753246753246754, 'precision': 0.4293504194513428, 'recall': 0.42753246753246754, 'f1': 0.3099751274163827}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.03906029285870605, 'accuracy': 0.4202597402597402, 'precision': 0.3765643611208539, 'recall': 0.4202597402597402, 'f1': 0.29496029317820127}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.014729319224858406, 'accuracy': 0.4057142857142857, 'precision': 0.34504479877421057, 'recall': 0.4057142857142857, 'f1': 0.2794935478652921}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.008391635936176933, 'accuracy': 0.4020779220779221, 'precision': 0.3386537388537389, 'recall': 0.4020779220779221, 'f1': 0.2734098240664781}, tiempo_total=0.18 segundos

C=1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.007806755120461362, 'accuracy': 0.40214285714285714, 'precision': 0.34447743237155, 'recall': 0.40214285714285714, 'f1': 0.2685731367224874}, tiempo_total=0.18 segundos

C=1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.2854310867305166, 'accuracy': 0.5472077922077923, 'precision': 0.49499594480925746, 'recall': 0.5472077922077923, 'f1': 0.5048467249215006}, tiempo_total=0.22 segundos

C=1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.29008783259297094, 'accuracy': 0.5543506493506494, 'precision': 0.5012577284811132, 'recall': 0.5543506493506494, 'f1': 0.5030908833677674}, tiempo_total=0.21 segundos

