Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.18375013467142712, 'accuracy': 0.48545454545454547, 'precision': 0.4310582519527575, 'recall': 0.48545454545454547, 'f1': 0.4382754900259684}, tiempo_total=1.07 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.18375013467142712, 'accuracy': 0.48545454545454547, 'precision': 0.4310582519527575, 'recall': 0.48545454545454547, 'f1': 0.4382754900259684}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.171339959624342, 'accuracy': 0.47097402597402593, 'precision': 0.423883313656041, 'recall': 0.47097402597402593, 'f1': 0.4383544569151304}, tiempo_total=1.46 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18524305541745387, 'accuracy': 0.48915584415584423, 'precision': 0.4254477456054192, 'recall': 0.48915584415584423, 'f1': 0.43700114790768146}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18524305541745387, 'accuracy': 0.48915584415584423, 'precision': 0.4254477456054192, 'recall': 0.48915584415584423, 'f1': 0.43700114790768146}, tiempo_total=1.03 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.17888399057947982, 'accuracy': 0.47103896103896103, 'precision': 0.4254308089283459, 'recall': 0.47103896103896103, 'f1': 0.442770191919241}, tiempo_total=1.68 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.18272939259328763, 'accuracy': 0.4818831168831169, 'precision': 0.43194798609098806, 'recall': 0.4818831168831169, 'f1': 0.443192978259401}, tiempo_total=1.14 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.18272939259328763, 'accuracy': 0.4818831168831169, 'precision': 0.43194798609098806, 'recall': 0.4818831168831169, 'f1': 0.443192978259401}, tiempo_total=1.11 segundos

