Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=10, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.23276468118525134, 'accuracy': 0.48545454545454536, 'precision': 0.4809863381873821, 'recall': 0.48545454545454536, 'f1': 0.47638814606663793}, tiempo_total=0.37 segundos


------------------------------------------------------

Resultados de Regresion Logistica con validacion cruzada (5 folds) undersample:

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.22888888888888886, 'precision': 0.053753086419753085, 'recall': 0.22888888888888886, 'f1': 0.08668220668220669}, tiempo_total=0.10 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.22888888888888886, 'precision': 0.053753086419753085, 'recall': 0.22888888888888886, 'f1': 0.08668220668220669}, tiempo_total=0.10 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.11720534807509078, 'accuracy': 0.31111111111111106, 'precision': 0.3535026455026455, 'recall': 0.31111111111111106, 'f1': 0.27701587301587305}, tiempo_total=0.16 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.14084837171811443, 'accuracy': 0.3311111111111111, 'precision': 0.3535026455026455, 'recall': 0.3311111111111111, 'f1': 0.289015873015873}, tiempo_total=0.12 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.11720534807509078, 'accuracy': 0.31111111111111106, 'precision': 0.3535026455026455, 'recall': 0.31111111111111106, 'f1': 0.27701587301587305}, tiempo_total=0.12 segundos

C=0.01, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.14084837171811443, 'accuracy': 0.3311111111111111, 'precision': 0.3535026455026455, 'recall': 0.3311111111111111, 'f1': 0.289015873015873}, tiempo_total=0.11 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.11720534807509078, 'accuracy': 0.31111111111111106, 'precision': 0.3535026455026455, 'recall': 0.31111111111111106, 'f1': 0.27701587301587305}, tiempo_total=0.15 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.14084837171811443, 'accuracy': 0.3311111111111111, 'precision': 0.3535026455026455, 'recall': 0.3311111111111111, 'f1': 0.289015873015873}, tiempo_total=0.11 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.24888888888888888, 'precision': 0.06375308641975308, 'recall': 0.24888888888888888, 'f1': 0.10104118104118105}, tiempo_total=0.10 segundos

