Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7247153020017156, 'accuracy': 0.9087470449172578, 'precision': 0.9045835001895706, 'recall': 0.9087470449172578, 'f1': 0.9027389091182373, 'roc_auc': 0.9734553692490312}, tiempo_total=1.58 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7775983375382033, 'accuracy': 0.9252955082742316, 'precision': 0.9238383360666143, 'recall': 0.9252955082742316, 'f1': 0.9202088253084304, 'roc_auc': 0.9717485774219281}, tiempo_total=3.56 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7352964293755245, 'accuracy': 0.9120567375886525, 'precision': 0.908595605688358, 'recall': 0.9120567375886525, 'f1': 0.9064705262352313, 'roc_auc': 0.9751829640255473}, tiempo_total=1.58 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7352964293755245, 'accuracy': 0.9120567375886525, 'precision': 0.908595605688358, 'recall': 0.9120567375886525, 'f1': 0.9064705262352313, 'roc_auc': 0.9751829640255473}, tiempo_total=1.62 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.780807580056934, 'accuracy': 0.926241134751773, 'precision': 0.9250274249305406, 'recall': 0.926241134751773, 'f1': 0.9211792921671778, 'roc_auc': 0.9714675919032771}, tiempo_total=3.50 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7375604930685066, 'accuracy': 0.913002364066194, 'precision': 0.9093258060459183, 'recall': 0.913002364066194, 'f1': 0.9072045532223244, 'roc_auc': 0.9749568682825153}, tiempo_total=1.62 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7375604930685066, 'accuracy': 0.913002364066194, 'precision': 0.9093258060459183, 'recall': 0.913002364066194, 'f1': 0.9072045532223244, 'roc_auc': 0.9749568682825153}, tiempo_total=1.63 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7810982293617142, 'accuracy': 0.9257683215130024, 'precision': 0.9244247395064192, 'recall': 0.9257683215130024, 'f1': 0.9209595254556872, 'roc_auc': 0.9713901431835446}, tiempo_total=3.58 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7247153020017156, 'accuracy': 0.9087470449172578, 'precision': 0.9045835001895706, 'recall': 0.9087470449172578, 'f1': 0.9027389091182373, 'roc_auc': 0.9734553692490312}, tiempo_total=1.56 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7247153020017156, 'accuracy': 0.9087470449172578, 'precision': 0.9045835001895706, 'recall': 0.9087470449172578, 'f1': 0.9027389091182373, 'roc_auc': 0.9734553692490312}, tiempo_total=1.58 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7807798105629484, 'accuracy': 0.926241134751773, 'precision': 0.9247959874922221, 'recall': 0.926241134751773, 'f1': 0.9212885732001848, 'roc_auc': 0.9716454730878293}, tiempo_total=3.66 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7364737270551274, 'accuracy': 0.9125295508274232, 'precision': 0.9087726490963026, 'recall': 0.9125295508274232, 'f1': 0.9068261626405507, 'roc_auc': 0.9742433852451879}, tiempo_total=1.61 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7364737270551274, 'accuracy': 0.9125295508274232, 'precision': 0.9087726490963026, 'recall': 0.9125295508274232, 'f1': 0.9068261626405507, 'roc_auc': 0.9742433852451879}, tiempo_total=1.66 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.780807580056934, 'accuracy': 0.926241134751773, 'precision': 0.9250274249305406, 'recall': 0.926241134751773, 'f1': 0.9211792921671778, 'roc_auc': 0.97143076321531}, tiempo_total=3.55 segundos

