Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7218996526849554, 'accuracy': 0.8638393917795201, 'precision': 0.8662870460097503, 'recall': 0.8638393917795201, 'f1': 0.862857552242407, 'roc_auc': 0.9229988493827863}, tiempo_total=1.17 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7218996526849554, 'accuracy': 0.8638393917795201, 'precision': 0.8662870460097503, 'recall': 0.8638393917795201, 'f1': 0.862857552242407, 'roc_auc': 0.9229988493827863}, tiempo_total=1.10 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9214774777334261}, tiempo_total=1.47 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7263691216802692, 'accuracy': 0.8660192444761226, 'precision': 0.8685537800415413, 'recall': 0.8660192444761226, 'f1': 0.8650599953013234, 'roc_auc': 0.9229285338863871}, tiempo_total=1.22 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7263691216802692, 'accuracy': 0.8660192444761226, 'precision': 0.8685537800415413, 'recall': 0.8660192444761226, 'f1': 0.8650599953013234, 'roc_auc': 0.9229285338863871}, tiempo_total=1.08 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9210227945319639}, tiempo_total=1.44 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7242100347428085, 'accuracy': 0.8649322879543835, 'precision': 0.8672802217794813, 'recall': 0.8649322879543835, 'f1': 0.8639974721688178, 'roc_auc': 0.9227377113608061}, tiempo_total=1.10 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7242100347428085, 'accuracy': 0.8649322879543835, 'precision': 0.8672802217794813, 'recall': 0.8649322879543835, 'f1': 0.8639974721688178, 'roc_auc': 0.9227377113608061}, tiempo_total=1.20 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9210242150470428}, tiempo_total=1.40 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7218996526849554, 'accuracy': 0.8638393917795201, 'precision': 0.8662870460097503, 'recall': 0.8638393917795201, 'f1': 0.862857552242407, 'roc_auc': 0.9229988493827863}, tiempo_total=1.17 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7218996526849554, 'accuracy': 0.8638393917795201, 'precision': 0.8662870460097503, 'recall': 0.8638393917795201, 'f1': 0.862857552242407, 'roc_auc': 0.9229988493827863}, tiempo_total=1.18 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9214777144859394}, tiempo_total=1.37 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7263691216802692, 'accuracy': 0.8660192444761226, 'precision': 0.8685537800415413, 'recall': 0.8660192444761226, 'f1': 0.8650599953013234, 'roc_auc': 0.922855850864857}, tiempo_total=1.10 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7263691216802692, 'accuracy': 0.8660192444761226, 'precision': 0.8685537800415413, 'recall': 0.8660192444761226, 'f1': 0.8650599953013234, 'roc_auc': 0.922855850864857}, tiempo_total=1.15 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9210230312844772}, tiempo_total=1.32 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7242100347428085, 'accuracy': 0.8649322879543835, 'precision': 0.8672802217794813, 'recall': 0.8649322879543835, 'f1': 0.8639974721688178, 'roc_auc': 0.9227365275982404}, tiempo_total=1.16 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7242100347428085, 'accuracy': 0.8649322879543835, 'precision': 0.8672802217794813, 'recall': 0.8649322879543835, 'f1': 0.8639974721688178, 'roc_auc': 0.9227365275982404}, tiempo_total=1.21 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9210966613160598}, tiempo_total=1.40 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7218996526849554, 'accuracy': 0.8638393917795201, 'precision': 0.8662870460097503, 'recall': 0.8638393917795201, 'f1': 0.862857552242407, 'roc_auc': 0.9228783423536042}, tiempo_total=1.17 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7218996526849554, 'accuracy': 0.8638393917795201, 'precision': 0.8662870460097503, 'recall': 0.8638393917795201, 'f1': 0.862857552242407, 'roc_auc': 0.9228783423536042}, tiempo_total=1.08 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7296599798055825, 'accuracy': 0.867112140650986, 'precision': 0.8675481043829729, 'recall': 0.867112140650986, 'f1': 0.8666406599153508, 'roc_auc': 0.9240075334649678}, tiempo_total=1.72 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7244421794221705, 'accuracy': 0.8649322879543835, 'precision': 0.8666743126562872, 'recall': 0.8649322879543835, 'f1': 0.8641087151173824, 'roc_auc': 0.9283740784408426}, tiempo_total=1.27 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7244421794221705, 'accuracy': 0.8649322879543835, 'precision': 0.8666743126562872, 'recall': 0.8649322879543835, 'f1': 0.8641087151173824, 'roc_auc': 0.9283740784408426}, tiempo_total=1.23 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7253543729651011, 'accuracy': 0.8649322879543835, 'precision': 0.8653221679250231, 'recall': 0.8649322879543835, 'f1': 0.8644915372066064, 'roc_auc': 0.9237909049154556}, tiempo_total=1.69 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7289115616294484, 'accuracy': 0.8671180803041103, 'precision': 0.8690161770721947, 'recall': 0.8671180803041103, 'f1': 0.8663062686778954, 'roc_auc': 0.9272906989407692}, tiempo_total=1.27 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7289115616294484, 'accuracy': 0.8671180803041103, 'precision': 0.8690161770721947, 'recall': 0.8671180803041103, 'f1': 0.8663062686778954, 'roc_auc': 0.9272906989407692}, tiempo_total=1.26 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7162509326942016, 'accuracy': 0.860584461867427, 'precision': 0.8611949790281912, 'recall': 0.860584461867427, 'f1': 0.8600319933186421, 'roc_auc': 0.923127287621158}, tiempo_total=1.57 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7313380994407911, 'accuracy': 0.8682109764789736, 'precision': 0.8694834416978272, 'recall': 0.8682109764789736, 'f1': 0.8675197448719671, 'roc_auc': 0.9284905606773016}, tiempo_total=1.27 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7313380994407911, 'accuracy': 0.8682109764789736, 'precision': 0.8694834416978272, 'recall': 0.8682109764789736, 'f1': 0.8675197448719671, 'roc_auc': 0.9284905606773016}, tiempo_total=1.23 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7275038444480362, 'accuracy': 0.8660192444761226, 'precision': 0.8664497177513404, 'recall': 0.8660192444761226, 'f1': 0.8655612736296037, 'roc_auc': 0.9239848052237075}, tiempo_total=1.69 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7311556785576567, 'accuracy': 0.8682050368258494, 'precision': 0.8697122957774314, 'recall': 0.8682050368258494, 'f1': 0.8674271277927502, 'roc_auc': 0.9281086788736262}, tiempo_total=1.25 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7311556785576567, 'accuracy': 0.8682050368258494, 'precision': 0.8697122957774314, 'recall': 0.8682050368258494, 'f1': 0.8674271277927502, 'roc_auc': 0.9281086788736262}, tiempo_total=1.29 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7275354522761821, 'accuracy': 0.8660251841292469, 'precision': 0.8665582283700874, 'recall': 0.8660251841292469, 'f1': 0.8655699019520903, 'roc_auc': 0.9236962039102045}, tiempo_total=1.65 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7333531392133804, 'accuracy': 0.869303872653837, 'precision': 0.871006426493581, 'recall': 0.869303872653837, 'f1': 0.8685114392046914, 'roc_auc': 0.9283013954193123}, tiempo_total=1.23 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7333531392133804, 'accuracy': 0.869303872653837, 'precision': 0.871006426493581, 'recall': 0.869303872653837, 'f1': 0.8685114392046914, 'roc_auc': 0.9283013954193123}, tiempo_total=1.19 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7162509326942016, 'accuracy': 0.860584461867427, 'precision': 0.8611949790281912, 'recall': 0.860584461867427, 'f1': 0.8600319933186421, 'roc_auc': 0.923127287621158}, tiempo_total=1.67 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7313380994407911, 'accuracy': 0.8682109764789736, 'precision': 0.8694834416978272, 'recall': 0.8682109764789736, 'f1': 0.8675197448719671, 'roc_auc': 0.9284905606773016}, tiempo_total=1.22 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7313380994407911, 'accuracy': 0.8682109764789736, 'precision': 0.8694834416978272, 'recall': 0.8682109764789736, 'f1': 0.8675197448719671, 'roc_auc': 0.9284905606773016}, tiempo_total=1.17 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7339599427495366, 'accuracy': 0.8692919933475884, 'precision': 0.8698207695637195, 'recall': 0.8692919933475884, 'f1': 0.8687811253692482, 'roc_auc': 0.9227349887069052}, tiempo_total=1.71 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7380788767115838, 'accuracy': 0.8714777856973152, 'precision': 0.8728901892967921, 'recall': 0.8714777856973152, 'f1': 0.8708209397365871, 'roc_auc': 0.9280966044954567}, tiempo_total=1.25 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7380788767115838, 'accuracy': 0.8714777856973152, 'precision': 0.8728901892967921, 'recall': 0.8714777856973152, 'f1': 0.8708209397365871, 'roc_auc': 0.9280966044954567}, tiempo_total=1.25 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7272660718107218, 'accuracy': 0.8660311237823711, 'precision': 0.8666515606073857, 'recall': 0.8660311237823711, 'f1': 0.8654853713465516, 'roc_auc': 0.9224485181660202}, tiempo_total=1.62 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.735804764815876, 'accuracy': 0.870384889522452, 'precision': 0.8719530847463931, 'recall': 0.870384889522452, 'f1': 0.869699034412853, 'roc_auc': 0.9289124536556956}, tiempo_total=1.21 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.735804764815876, 'accuracy': 0.870384889522452, 'precision': 0.8719530847463931, 'recall': 0.870384889522452, 'f1': 0.869699034412853, 'roc_auc': 0.9289124536556956}, tiempo_total=1.29 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7183843049915498, 'accuracy': 0.861671418389166, 'precision': 0.8623257713943305, 'recall': 0.861671418389166, 'f1': 0.8610944428522556, 'roc_auc': 0.9229580095742715}, tiempo_total=1.62 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.73351028945483, 'accuracy': 0.8692919933475884, 'precision': 0.8708977241986785, 'recall': 0.8692919933475884, 'f1': 0.8685770665193951, 'roc_auc': 0.9285076068582467}, tiempo_total=1.25 segundos

