Resultados de SVM con validacion cruzada (5 folds):

C=0.001, C=0.001, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.39 segundos
C=1, C=1, gamma=scale, degree=8 --> {'cohen_kappa': 0.5875685540979056, 'accuracy': 0.7909924202362066, 'precision': 0.8127385656887904, 'recall': 0.7909924202362066, 'f1': 0.7909922408311985, 'roc_auc': 0.8013888315237805}, tiempo_total=0.27 segundos

C=1, C=1, gamma=scale, degree=9 --> {'cohen_kappa': 0.5794534453824358, 'accuracy': 0.7866384628944122, 'precision': 0.8106526180283866, 'recall': 0.7866384628944122, 'f1': 0.7863449265177569, 'roc_auc': 0.7975297055624955}, tiempo_total=0.27 segundos

C=1, C=1, gamma=scale, degree=10 --> {'cohen_kappa': 0.5551840340254133, 'accuracy': 0.7735765908690286, 'precision': 0.8018646257798776, 'recall': 0.7735765908690286, 'f1': 0.7727467128308357, 'roc_auc': 0.7858273738815004}, tiempo_total=0.28 segundos

C=1, C=1, gamma=auto, degree=2 --> {'cohen_kappa': 0.6869208026893958, 'accuracy': 0.8442975497972854, 'precision': 0.8489367527008916, 'recall': 0.8442975497972854, 'f1': 0.8447268767899155, 'roc_auc': 0.8469202832798125}, tiempo_total=0.23 segundos

C=1, C=1, gamma=auto, degree=3 --> {'cohen_kappa': 0.6813042001745738, 'accuracy': 0.8410012339150361, 'precision': 0.8474005236234176, 'recall': 0.8410012339150361, 'f1': 0.8415730826365747, 'roc_auc': 0.8452257340407281}, tiempo_total=0.24 segundos

C=1, C=1, gamma=auto, degree=4 --> {'cohen_kappa': 0.6207552055554911, 'accuracy': 0.808320112815089, 'precision': 0.826572979721103, 'recall': 0.808320112815089, 'f1': 0.8086468473658908, 'roc_auc': 0.8177685467032415}, tiempo_total=0.25 segundos

C=1, C=1, gamma=auto, degree=5 --> {'cohen_kappa': 0.5976005348284087, 'accuracy': 0.7963687643222281, 'precision': 0.8175322038788908, 'recall': 0.7963687643222281, 'f1': 0.7964543397303743, 'roc_auc': 0.8066731156466138}, tiempo_total=0.31 segundos

C=1, C=1, gamma=auto, degree=6 --> {'cohen_kappa': 0.5573435273999034, 'accuracy': 0.7746166049709149, 'precision': 0.8031054193593039, 'recall': 0.7746166049709149, 'f1': 0.7739289746618546, 'roc_auc': 0.7872895175123644}, tiempo_total=0.44 segundos

C=1, C=1, gamma=auto, degree=7 --> {'cohen_kappa': 0.5565360325271309, 'accuracy': 0.7735237087960515, 'precision': 0.8072621583497963, 'recall': 0.7735237087960515, 'f1': 0.7720809535209747, 'roc_auc': 0.7872799035883287}, tiempo_total=0.32 segundos

C=1, C=1, gamma=auto, degree=8 --> {'cohen_kappa': 0.5369456455268279, 'accuracy': 0.7626300017627358, 'precision': 0.8010154632559654, 'recall': 0.7626300017627358, 'f1': 0.7605532101360538, 'roc_auc': 0.7779493659199945}, tiempo_total=0.29 segundos

C=1, C=1, gamma=auto, degree=9 --> {'cohen_kappa': 0.5192023554932407, 'accuracy': 0.7527763088313062, 'precision': 0.7988390221121217, 'recall': 0.7527763088313062, 'f1': 0.7496385234202094, 'roc_auc': 0.7698813087933956}, tiempo_total=0.32 segundos

C=1, C=1, gamma=auto, degree=10 --> {'cohen_kappa': 0.5002728475940689, 'accuracy': 0.7419002291556496, 'precision': 0.7942961317897292, 'recall': 0.7419002291556496, 'f1': 0.7374530109854163, 'roc_auc': 0.7607792178419516}, tiempo_total=0.32 segundos

C=10, C=10, gamma=scale, degree=2 --> {'cohen_kappa': 0.6745870217066141, 'accuracy': 0.8387625594923319, 'precision': 0.8419664924861596, 'recall': 0.8387625594923319, 'f1': 0.8389856649879672, 'roc_auc': 0.8396287878251192}, tiempo_total=0.27 segundos

C=10, C=10, gamma=scale, degree=3 --> {'cohen_kappa': 0.6549059977167044, 'accuracy': 0.8289264939185615, 'precision': 0.8326070481746374, 'recall': 0.8289264939185615, 'f1': 0.8292613133221403, 'roc_auc': 0.8297019906637141}, tiempo_total=0.27 segundos

C=10, C=10, gamma=scale, degree=4 --> {'cohen_kappa': 0.6296191750869788, 'accuracy': 0.8159175039661555, 'precision': 0.8197937329004334, 'recall': 0.8159175039661555, 'f1': 0.8164987101705131, 'roc_auc': 0.8178147585563595}, tiempo_total=0.26 segundos

C=10, C=10, gamma=scale, degree=5 --> {'cohen_kappa': 0.6325714295250646, 'accuracy': 0.817028027498678, 'precision': 0.8218924784081111, 'recall': 0.817028027498678, 'f1': 0.81766783775464, 'roc_auc': 0.8199739661398672}, tiempo_total=0.26 segundos

C=10, C=10, gamma=scale, degree=6 --> {'cohen_kappa': 0.6051069446355163, 'accuracy': 0.8029085140137493, 'precision': 0.8095896344841991, 'recall': 0.8029085140137493, 'f1': 0.8036168457901285, 'roc_auc': 0.8066930382166682}, tiempo_total=0.29 segundos

C=10, C=10, gamma=scale, degree=7 --> {'cohen_kappa': 0.6102889901729267, 'accuracy': 0.8051119337211352, 'precision': 0.8134989936078669, 'recall': 0.8051119337211352, 'f1': 0.8057596565642691, 'roc_auc': 0.8099777695091527}, tiempo_total=0.38 segundos

C=10, C=10, gamma=scale, degree=8 --> {'cohen_kappa': 0.6049576313707341, 'accuracy': 0.8017627357659087, 'precision': 0.8128586821732732, 'recall': 0.8017627357659087, 'f1': 0.8024691538808192, 'roc_auc': 0.8080389788808638}, tiempo_total=0.43 segundos

