Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l2, solver=lbfgs --> {'cohen_kappa': 0.6505293390414615, 'accuracy': 0.8256097560975609, 'precision': 0.8267287661580742, 'recall': 0.8256097560975609, 'f1': 0.8256223098636758, 'roc_auc': 0.8257353430301588}, tiempo_total=0.11segundos

C=0.01, penalty=l2, solver=liblinear --> {'cohen_kappa': 0.6385151047311014, 'accuracy': 0.8195121951219513, 'precision': 0.8231592723098473, 'recall': 0.8195121951219513, 'f1': 0.8191997928265742, 'roc_auc': 0.8197835420632611}, tiempo_total=0.10segundos

C=0.01, penalty=l2, solver=saga --> {'cohen_kappa': 0.6505293390414615, 'accuracy': 0.8256097560975609, 'precision': 0.8267287661580742, 'recall': 0.8256097560975609, 'f1': 0.8256223098636758, 'roc_auc': 0.8257353430301588}, tiempo_total=0.11segundos

C=0.01, penalty=l2, solver=newton-cg --> {'cohen_kappa': 0.6505293390414615, 'accuracy': 0.8256097560975609, 'precision': 0.8267287661580742, 'recall': 0.8256097560975609, 'f1': 0.8256223098636758, 'roc_auc': 0.8257353430301588}, tiempo_total=0.12segundos

C=0.01, penalty=elasticnet, solver=saga --> {'cohen_kappa': 0.5899851770321197, 'accuracy': 0.7951219512195122, 'precision': 0.796703455022629, 'recall': 0.7951219512195122, 'f1': 0.7952202975650021, 'roc_auc': 0.7957808851666002}, tiempo_total=0.12segundos

C=0.01, penalty=None, solver=lbfgs --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=0.01, penalty=None, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=0.01, penalty=None, solver=newton-cg --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=0.1, penalty=l1, solver=liblinear --> {'cohen_kappa': 0.6555615341877823, 'accuracy': 0.828048780487805, 'precision': 0.8299695878132765, 'recall': 0.828048780487805, 'f1': 0.8279469495027261, 'roc_auc': 0.8282313042268106}, tiempo_total=0.11segundos

