Resultados de SVM con validacion cruzada (5 folds):

C=0.1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': -0.024710340099512895, 'accuracy': 0.4645161290322581, 'precision': 0.29348644624822573, 'recall': 0.4645161290322581, 'f1': 0.3121452180358211, 'roc_auc': 0.6445833333333333}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.21073011544778586, 'accuracy': 0.5709677419354838, 'precision': 0.626817569679615, 'recall': 0.5709677419354838, 'f1': 0.4865394120612949, 'roc_auc': 0.7966587301587301}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': -0.05285085533118321, 'accuracy': 0.4193548387096774, 'precision': 0.2504600771665483, 'recall': 0.4193548387096774, 'f1': 0.2923758483224127, 'roc_auc': 0.625797619047619}, tiempo_total=0.18 segundos

C=0.1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.1820009377618506, 'accuracy': 0.5580645161290322, 'precision': 0.62278849946507, 'recall': 0.5580645161290322, 'f1': 0.468146693893403, 'roc_auc': 0.695609126984127}, tiempo_total=0.16 segundos

C=0.1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': -0.016484590069219963, 'accuracy': 0.432258064516129, 'precision': 0.3830117699398068, 'recall': 0.432258064516129, 'f1': 0.3166660478390083, 'roc_auc': 0.6369920634920635}, tiempo_total=0.18 segundos

C=0.1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.5577913375821527, 'accuracy': 0.7354838709677418, 'precision': 0.6811107283485933, 'recall': 0.7354838709677418, 'f1': 0.6772192258040906, 'roc_auc': 0.9321170634920636}, tiempo_total=0.20 segundos

C=0.1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.5627707478155035, 'accuracy': 0.7387096774193548, 'precision': 0.6827778285913959, 'recall': 0.7387096774193548, 'f1': 0.6798706078457935, 'roc_auc': 0.9323253968253968}, tiempo_total=0.20 segundos

C=0.1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.5489039121201014, 'accuracy': 0.7290322580645162, 'precision': 0.6479246225677533, 'recall': 0.7290322580645162, 'f1': 0.6713856030093474, 'roc_auc': 0.9336805555555555}, tiempo_total=0.17 segundos

C=0.1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.5544898354033931, 'accuracy': 0.732258064516129, 'precision': 0.6500444058899268, 'recall': 0.732258064516129, 'f1': 0.6735744140176216, 'roc_auc': 0.9336071428571427}, tiempo_total=0.17 segundos

C=1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7575619389309921, 'accuracy': 0.8483870967741935, 'precision': 0.8561883317161346, 'recall': 0.8483870967741935, 'f1': 0.8476606149484429, 'roc_auc': 0.9626964285714286}, tiempo_total=0.14 segundos

C=1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7575619389309921, 'accuracy': 0.8483870967741935, 'precision': 0.8561883317161346, 'recall': 0.8483870967741935, 'f1': 0.8476606149484429, 'roc_auc': 0.9626964285714286}, tiempo_total=0.14 segundos

C=1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.27272159394532725, 'accuracy': 0.5516129032258065, 'precision': 0.5649588595950186, 'recall': 0.5516129032258065, 'f1': 0.5105046898321173, 'roc_auc': 0.743172619047619}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.61242865854645, 'accuracy': 0.7645161290322582, 'precision': 0.7861729559529964, 'recall': 0.7645161290322582, 'f1': 0.7477438413260806, 'roc_auc': 0.9250297619047618}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.20112346194847563, 'accuracy': 0.4870967741935484, 'precision': 0.5040975175841738, 'recall': 0.4870967741935484, 'f1': 0.4343185714355392, 'roc_auc': 0.7306984126984128}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.4436002023651377, 'accuracy': 0.667741935483871, 'precision': 0.6822977789793407, 'recall': 0.667741935483871, 'f1': 0.6314851846659153, 'roc_auc': 0.8955158730158731}, tiempo_total=0.15 segundos

C=1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.19900506824342107, 'accuracy': 0.4838709677419355, 'precision': 0.5195598425738197, 'recall': 0.4838709677419355, 'f1': 0.4339651532731018, 'roc_auc': 0.6748730158730158}, tiempo_total=0.18 segundos

C=1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.36442352909211684, 'accuracy': 0.6322580645161289, 'precision': 0.6304427163743744, 'recall': 0.6322580645161289, 'f1': 0.5803606058887164, 'roc_auc': 0.7670833333333333}, tiempo_total=0.15 segundos

C=1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.19253812529471853, 'accuracy': 0.4806451612903226, 'precision': 0.5678288898779701, 'recall': 0.4806451612903226, 'f1': 0.44230090856071813, 'roc_auc': 0.6438194444444444}, tiempo_total=0.19 segundos

C=1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.2471766506439262, 'accuracy': 0.5838709677419354, 'precision': 0.5961532051839415, 'recall': 0.5838709677419354, 'f1': 0.5111396809978359, 'roc_auc': 0.6993194444444444}, tiempo_total=0.16 segundos

C=1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.0634326660165527, 'accuracy': 0.4258064516129032, 'precision': 0.48293466006599645, 'recall': 0.4258064516129032, 'f1': 0.3697535043346616, 'roc_auc': 0.6439007936507937}, tiempo_total=0.19 segundos

C=1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.2835381665912785, 'accuracy': 0.5580645161290323, 'precision': 0.5601323778330529, 'recall': 0.5580645161290323, 'f1': 0.5195960784979752, 'roc_auc': 0.745093253968254}, tiempo_total=0.16 segundos

C=1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.5773133518794735, 'accuracy': 0.7419354838709677, 'precision': 0.7771601345447285, 'recall': 0.7419354838709677, 'f1': 0.7262880646455209, 'roc_auc': 0.9249484126984127}, tiempo_total=0.15 segundos

C=1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.20112346194847563, 'accuracy': 0.4870967741935484, 'precision': 0.5040975175841738, 'recall': 0.4870967741935484, 'f1': 0.4343185714355392, 'roc_auc': 0.7237896825396825}, tiempo_total=0.17 segundos

C=1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.4303545583639877, 'accuracy': 0.6580645161290322, 'precision': 0.7015846158418356, 'recall': 0.6580645161290322, 'f1': 0.623450108897238, 'roc_auc': 0.8991349206349207}, tiempo_total=0.15 segundos

C=1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.20520676042936453, 'accuracy': 0.4903225806451613, 'precision': 0.5477485416729829, 'recall': 0.4903225806451613, 'f1': 0.43829068633235907, 'roc_auc': 0.6691884920634921}, tiempo_total=0.18 segundos

C=1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.3248810869170762, 'accuracy': 0.603225806451613, 'precision': 0.6377662429736162, 'recall': 0.603225806451613, 'f1': 0.549745579857314, 'roc_auc': 0.7678869047619048}, tiempo_total=0.16 segundos

C=1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.19567455238707435, 'accuracy': 0.4870967741935484, 'precision': 0.5527872334763173, 'recall': 0.4870967741935484, 'f1': 0.44322480895212124, 'roc_auc': 0.6425238095238094}, tiempo_total=0.19 segundos

C=1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.24307848193381779, 'accuracy': 0.5677419354838709, 'precision': 0.6329744078213677, 'recall': 0.5677419354838709, 'f1': 0.5006605054408885, 'roc_auc': 0.7033492063492064}, tiempo_total=0.16 segundos

C=1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.01737570911985813, 'accuracy': 0.4193548387096774, 'precision': 0.43969245188590955, 'recall': 0.4193548387096774, 'f1': 0.34387945368608613, 'roc_auc': 0.647390873015873}, tiempo_total=0.19 segundos

C=1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.7413005805135588, 'accuracy': 0.8387096774193548, 'precision': 0.8418966692204437, 'recall': 0.8387096774193548, 'f1': 0.8375539137025324, 'roc_auc': 0.9537996031746033}, tiempo_total=0.17 segundos

C=1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.7413005805135588, 'accuracy': 0.8387096774193548, 'precision': 0.8418966692204437, 'recall': 0.8387096774193548, 'f1': 0.8375539137025324, 'roc_auc': 0.9538968253968253}, tiempo_total=0.17 segundos

