Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7464574495759025, 'accuracy': 0.8419354838709678, 'precision': 0.8473864249355133, 'recall': 0.8419354838709678, 'f1': 0.8407357785794158, 'roc_auc': 0.9479543650793651}, tiempo_total=1.14 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7216078386697864, 'accuracy': 0.8290322580645162, 'precision': 0.8285191592191967, 'recall': 0.8290322580645162, 'f1': 0.8176619836396494, 'roc_auc': 0.9477698412698412}, tiempo_total=1.06 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7216078386697864, 'accuracy': 0.8290322580645162, 'precision': 0.8285191592191967, 'recall': 0.8290322580645162, 'f1': 0.8176619836396494, 'roc_auc': 0.9477698412698412}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7415712009401931, 'accuracy': 0.8387096774193548, 'precision': 0.8455163922099406, 'recall': 0.8387096774193548, 'f1': 0.8378882592420661, 'roc_auc': 0.9476924603174602}, tiempo_total=1.14 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7163222461719176, 'accuracy': 0.8258064516129032, 'precision': 0.8251821180623556, 'recall': 0.8258064516129032, 'f1': 0.8143815025024159, 'roc_auc': 0.9483630952380953}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7163222461719176, 'accuracy': 0.8258064516129032, 'precision': 0.8251821180623556, 'recall': 0.8258064516129032, 'f1': 0.8143815025024159, 'roc_auc': 0.9483630952380953}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7468173019751454, 'accuracy': 0.8419354838709678, 'precision': 0.8488496043873075, 'recall': 0.8419354838709678, 'f1': 0.8410497664720016, 'roc_auc': 0.9475436507936508}, tiempo_total=1.16 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7215401903016396, 'accuracy': 0.8290322580645162, 'precision': 0.8296875356044808, 'recall': 0.8290322580645162, 'f1': 0.8192754936481919, 'roc_auc': 0.9483888888888888}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7215401903016396, 'accuracy': 0.8290322580645162, 'precision': 0.8296875356044808, 'recall': 0.8290322580645162, 'f1': 0.8192754936481919, 'roc_auc': 0.9483888888888888}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7464574495759025, 'accuracy': 0.8419354838709678, 'precision': 0.8473864249355133, 'recall': 0.8419354838709678, 'f1': 0.8407357785794158, 'roc_auc': 0.9477857142857143}, tiempo_total=1.15 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7212684384665842, 'accuracy': 0.8290322580645162, 'precision': 0.8267552946077237, 'recall': 0.8290322580645162, 'f1': 0.8170637235592366, 'roc_auc': 0.9478015873015874}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7212684384665842, 'accuracy': 0.8290322580645162, 'precision': 0.8267552946077237, 'recall': 0.8290322580645162, 'f1': 0.8170637235592366, 'roc_auc': 0.9478015873015874}, tiempo_total=1.05 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7464574495759025, 'accuracy': 0.8419354838709678, 'precision': 0.8473864249355133, 'recall': 0.8419354838709678, 'f1': 0.8407357785794158, 'roc_auc': 0.9478730158730159}, tiempo_total=1.14 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7163222461719176, 'accuracy': 0.8258064516129032, 'precision': 0.8251821180623556, 'recall': 0.8258064516129032, 'f1': 0.8143815025024159, 'roc_auc': 0.948781746031746}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7163222461719176, 'accuracy': 0.8258064516129032, 'precision': 0.8251821180623556, 'recall': 0.8258064516129032, 'f1': 0.8143815025024159, 'roc_auc': 0.948781746031746}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7468173019751454, 'accuracy': 0.8419354838709678, 'precision': 0.8488496043873075, 'recall': 0.8419354838709678, 'f1': 0.8410497664720016, 'roc_auc': 0.9475436507936508}, tiempo_total=1.16 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7212002094283055, 'accuracy': 0.8290322580645162, 'precision': 0.8282443570541222, 'recall': 0.8290322580645162, 'f1': 0.8187497059327807, 'roc_auc': 0.9483888888888888}, tiempo_total=1.06 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7212002094283055, 'accuracy': 0.8290322580645162, 'precision': 0.8282443570541222, 'recall': 0.8290322580645162, 'f1': 0.8187497059327807, 'roc_auc': 0.9483888888888888}, tiempo_total=1.03 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7570920916382822, 'accuracy': 0.8483870967741935, 'precision': 0.8539633248032041, 'recall': 0.8483870967741935, 'f1': 0.8476332367026262, 'roc_auc': 0.9493194444444445}, tiempo_total=1.22 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7661474733946927, 'accuracy': 0.8548387096774194, 'precision': 0.8558521261899763, 'recall': 0.8548387096774194, 'f1': 0.851595185832052, 'roc_auc': 0.9529761904761905}, tiempo_total=1.07 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7661474733946927, 'accuracy': 0.8548387096774194, 'precision': 0.8558521261899763, 'recall': 0.8548387096774194, 'f1': 0.851595185832052, 'roc_auc': 0.9529761904761905}, tiempo_total=1.10 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7417900188630524, 'accuracy': 0.8387096774193548, 'precision': 0.8438266307106526, 'recall': 0.8387096774193548, 'f1': 0.8382953917518782, 'roc_auc': 0.9501865079365078}, tiempo_total=1.21 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7449968859142524, 'accuracy': 0.8419354838709678, 'precision': 0.8430308216620446, 'recall': 0.8419354838709678, 'f1': 0.8376694666293899, 'roc_auc': 0.9537638888888889}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7449968859142524, 'accuracy': 0.8419354838709678, 'precision': 0.8430308216620446, 'recall': 0.8419354838709678, 'f1': 0.8376694666293899, 'roc_auc': 0.9537638888888889}, tiempo_total=1.06 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7530002858281094, 'accuracy': 0.8451612903225806, 'precision': 0.8531236984147222, 'recall': 0.8451612903225806, 'f1': 0.8456675967676617, 'roc_auc': 0.9486884920634922}, tiempo_total=1.19 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7180215261874394, 'accuracy': 0.8258064516129032, 'precision': 0.8250520814782275, 'recall': 0.8258064516129032, 'f1': 0.8192666691579102, 'roc_auc': 0.9497658730158729}, tiempo_total=1.08 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7180215261874394, 'accuracy': 0.8258064516129032, 'precision': 0.8250520814782275, 'recall': 0.8258064516129032, 'f1': 0.8192666691579102, 'roc_auc': 0.9497658730158729}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7570920916382822, 'accuracy': 0.8483870967741935, 'precision': 0.8539633248032041, 'recall': 0.8483870967741935, 'f1': 0.8476332367026262, 'roc_auc': 0.9512083333333333}, tiempo_total=1.32 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.750661769127741, 'accuracy': 0.8451612903225806, 'precision': 0.84909839699461, 'recall': 0.8451612903225806, 'f1': 0.8409483990566109, 'roc_auc': 0.9524623015873015}, tiempo_total=1.06 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.750661769127741, 'accuracy': 0.8451612903225806, 'precision': 0.84909839699461, 'recall': 0.8451612903225806, 'f1': 0.8409483990566109, 'roc_auc': 0.9524623015873015}, tiempo_total=1.16 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7417900188630524, 'accuracy': 0.8387096774193548, 'precision': 0.8438266307106526, 'recall': 0.8387096774193548, 'f1': 0.8382953917518782, 'roc_auc': 0.9499642857142856}, tiempo_total=1.22 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7402839679220377, 'accuracy': 0.8387096774193548, 'precision': 0.842343550090457, 'recall': 0.8387096774193548, 'f1': 0.8347541609707015, 'roc_auc': 0.9535753968253969}, tiempo_total=1.07 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7402839679220377, 'accuracy': 0.8387096774193548, 'precision': 0.842343550090457, 'recall': 0.8387096774193548, 'f1': 0.8347541609707015, 'roc_auc': 0.9535753968253969}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7530002858281094, 'accuracy': 0.8451612903225806, 'precision': 0.8531236984147222, 'recall': 0.8451612903225806, 'f1': 0.8456675967676617, 'roc_auc': 0.9486884920634922}, tiempo_total=1.19 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7180215261874394, 'accuracy': 0.8258064516129032, 'precision': 0.8250520814782275, 'recall': 0.8258064516129032, 'f1': 0.8192666691579102, 'roc_auc': 0.9497658730158729}, tiempo_total=1.09 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7180215261874394, 'accuracy': 0.8258064516129032, 'precision': 0.8250520814782275, 'recall': 0.8258064516129032, 'f1': 0.8192666691579102, 'roc_auc': 0.9497658730158729}, tiempo_total=1.05 segundos

