Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.5}, tiempo_total=0.14 segundos
C=0.1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6666666666666666, 'accuracy': 0.7777777777777779, 'precision': 0.7845623820623822, 'recall': 0.7777777777777779, 'f1': 0.7717589888711169, 'roc_auc': 0.9337962962962963}, tiempo_total=0.15 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7083333333333333, 'accuracy': 0.8055555555555554, 'precision': 0.8104094979094979, 'recall': 0.8055555555555554, 'f1': 0.7996783127034843, 'roc_auc': 0.9280092592592591}, tiempo_total=0.14 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7083333333333333, 'accuracy': 0.8055555555555554, 'precision': 0.8139015614015614, 'recall': 0.8055555555555554, 'f1': 0.7999683608196195, 'roc_auc': 0.9344907407407408}, tiempo_total=0.12 segundos

C=0.1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7083333333333333, 'accuracy': 0.8055555555555554, 'precision': 0.8104094979094979, 'recall': 0.8055555555555554, 'f1': 0.7996783127034843, 'roc_auc': 0.9280092592592591}, tiempo_total=0.13 segundos

C=0.1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7083333333333333, 'accuracy': 0.8055555555555554, 'precision': 0.8139015614015614, 'recall': 0.8055555555555554, 'f1': 0.7999683608196195, 'roc_auc': 0.9342592592592593}, tiempo_total=0.12 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7083333333333333, 'accuracy': 0.8055555555555554, 'precision': 0.8104094979094979, 'recall': 0.8055555555555554, 'f1': 0.7996783127034843, 'roc_auc': 0.9280092592592591}, tiempo_total=0.15 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7083333333333333, 'accuracy': 0.8055555555555554, 'precision': 0.8139015614015614, 'recall': 0.8055555555555554, 'f1': 0.7999683608196195, 'roc_auc': 0.9342592592592593}, tiempo_total=0.12 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6833333333333332, 'accuracy': 0.7888888888888888, 'precision': 0.7948152065799124, 'recall': 0.7888888888888888, 'f1': 0.7831860826280459, 'roc_auc': 0.9293981481481481}, tiempo_total=0.14 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.675, 'accuracy': 0.7833333333333332, 'precision': 0.790362992127698, 'recall': 0.7833333333333332, 'f1': 0.7777605226807467, 'roc_auc': 0.9347222222222221}, tiempo_total=0.14 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.725, 'accuracy': 0.8166666666666667, 'precision': 0.8262978687978689, 'recall': 0.8166666666666667, 'f1': 0.8143570267628238, 'roc_auc': 0.9333333333333333}, tiempo_total=0.17 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7, 'accuracy': 0.8, 'precision': 0.8132537397243279, 'recall': 0.8, 'f1': 0.797428958784965, 'roc_auc': 0.9368055555555556}, tiempo_total=0.16 segundos

